Country,Qty
Afghanistan,17
Albania,7
Algeria,4
Andorra,8
Angola,5
Antigua and Barbuda,18
Argentina,57
Armenia,4
Australia,845
Austria,48
Azerbaijan,36

Bahamas,13
Bahrain,25
Bangladesh,12
Barbados,2
Belarus,34
Belgium,39
Belize,8
Benin / Dahomey,36
Bhutan,6
Bolivia,13
Bosnia and Herzegovina,5
Botswana,3
Brazil,7
Brunei,14
Bulgaria,57
Burkina Faso,14
Burundi,50
Cabo Verde,11
Cambodia,31
Cameroon,9
Canada,151
Central African Republic,20
Chad,10
Chile,59
China,85
Colombia,30
Comoros,12
Democratic Republic of the Congo,52
Republic of Congo,38
Costa Rica,95
Cote d'Ivoire,9
Croatia,6
Cuba,40
Cyprus,26
Czech Republic,55
Denmark / Greenland,125
Djibouti,6
Dominica,15
Dominican Republic,23
Ecuador,37
Egypt,104
El Salvador,9
Equatorial Guinea,8
Eritrea,1
Estonia,37
Ethiopia,12
Fiji,18
Finland,208
France,137
Gabon,6
Gambia,3
Georgia,4
Germany,179
Ghana,73
Greece,102
Grenada,48
Guatemala,37
Guinea,45
Guinea-Bissau,24
Guyana,22
Haiti,25
Honduras,5
Hungary,36
Iceland,29
India,654
Indonesia,35
Iran,143
Iraq,91
Ireland,149
Israel,60
Italy,61
Jamaica,42
Japan,38
Jordan,22
Kazakhstan,7
Kenya,144
Kiribati,9
Kosovo,3
Kuwait,95
Kyrgyzstan,14
Laos,29
Latvia,53
Lebanon (Liban),14
Lesotho,15
Liberia,13
Libya,11
Liechtenstein,31
Lithuania,53
Luxembourg,93
Macedonia,4
Madagascar,10
Malawi,25
Malaysia,250
Maldives,4
Mali,11
Malta,82
Marshall Islands,4
Mauritania,17
Mauritius,29
Mexico,9
Micronesia,4
Moldova,4
Monaco,2
Mongolia,2
Montenegro,1
Morocco,20
Mozambique,15
Myanmar,55
Namibia,3
Nauru,25
Nepal,85
Nederlands,195
New Zealand,191
Nicaragua,119
Niger,11
Nigeria,49
Korea North,31
Norway,190
Oman,34
Pakistan,101
Palau,6
Palestine,15
Panama,19
Papua New Guinea,161
Paraguay,15
Peru,33
Philippines,104
Poland,22
Portugal,98
Qatar,5
Romania,9
Russia,16
Rwanda,79
Samoa,16
San Marino,10
Sao Tome and Principe,4
Saudi Arabia,52
Senegal,15
Serbia,30
Seychelles,9
Sierra Leone,7
Singapore,113
Slovakia,4
Slovenia,3
Solomon Islands,18
Somalia,13
Somaliland,
South Africa,122
Korea South,5
Sudan South,
Spain,101
Sri Lanka,120
St. Kitts and Nevis,17
St. Lucia,25
St. Vincent and the Grenadines,8
Sudan,14
Suriname,1
Swaziland,14
Sweden,213
Switzerland,9
Syria,11
Taiwan,66
Tajikistan,15
Tanzania,199
Thailand,207
Timor-Leste,31
Togo,29
Tonga,11
Trinidad and Tobago,52
Tunisia,20
Turkey,16
Turkmenistan,6
Tuvalu,13
Uganda,15
Ukraine,14
UAE,98
UK,651
USA,149
Uruguay,84
Uzbekistan,28
Vanuatu,8
Vatican City,48
Venezuela,52
Vietnam,140
Yemen,23
Zambia,22
Zimbabwe,15
